name,n_threads,avg_time,operations,s_enq,s_deq,enq,deq
seq,2,0.0257129,163840,0,11931,81920,81920
glob,1,0.0628822,81920,0,40960,40960,40960
finelock,1,0.064792,81920,0,40960,40960,40960
lockfree,1,0.0840593,81920,0,40960,40960,40960
glob,2,0.269124,163840,0,81920,81920,81920
finelock,2,0.148159,163840,0,81920,81920,81920
lockfree,2,0.352857,163840,0,81920,81920,81920
glob,4,0.886872,327680,0,163840,163840,163840
finelock,4,0.296,327680,0,163840,163840,163840
lockfree,4,1.17476,327680,0,163840,163840,163840
glob,8,4.09121,655360,0,327680,327680,327680
finelock,8,0.873513,655360,0,327680,327680,327680
lockfree,8,3.11833,655360,0,327680,327680,327680
